pair_idx,dt,curr_x,curr_y,curr_z,curr_roll,curr_pitch,curr_yaw,curr_vx,curr_vy,curr_vz,curr_wx,curr_wy,curr_wz,curr_ax,curr_ay,curr_az,curr_alpha_x,curr_alpha_y,curr_alpha_z,thrust,torque_roll,torque_pitch,torque_yaw,next_x,next_y,next_z,next_roll,next_pitch,next_yaw,next_vx,next_vy,next_vz,next_wx,next_wy,next_wz,next_ax,next_ay,next_az,next_alpha_x,next_alpha_y,next_alpha_z
7699,0.020005,-0.038207,-0.249257,-1.525687,-0.003179,0.003305,1.383271,-0.204079,-0.227159,-0.130825,0.031768,-0.033728,-0.348819,0.149719,-0.129222,0.253528,0.029475,-0.038353,-0.340930,-0.206219,-0.055886,0.014091,0.955321,-0.040951,-0.252260,-1.526149,-0.003076,0.003178,1.382920,-0.202188,-0.228101,-0.124126,0.030941,-0.035750,-0.347633,0.382708,-0.300152,0.268486,0.031252,-0.038976,-0.345225
7700,0.019992,-0.718393,-0.938486,-0.966368,0.000432,0.007483,1.843197,0.030469,0.012245,0.940699,0.035008,-0.213431,-0.112007,-0.456198,0.074453,0.135164,-0.009003,-0.248665,-0.122753,-0.367894,2.311012,2.292028,-0.778698,-0.717160,-0.938151,-0.962625,-0.000150,0.006331,1.843064,0.031551,0.009805,0.939301,-0.199953,-0.323643,-0.144868,0.077658,0.199600,0.135629,-0.220572,-0.283145,-0.153297
7701,0.020009,0.247385,2.420336,-0.888125,0.001699,0.004243,1.344331,-0.083953,-0.059811,-0.255058,-0.074495,0.028117,-0.448440,-0.009489,-0.014875,0.156988,-0.074543,0.027970,-0.443521,-0.125182,0.001881,-0.014464,1.173983,0.245465,2.420304,-0.889279,0.001430,0.004339,1.343948,-0.085131,-0.059884,-0.254467,-0.074220,0.026060,-0.458337,0.009447,-0.300669,0.139534,-0.071045,0.027613,-0.462180
7702,0.020005,0.265770,-0.118823,0.307597,0.002840,-0.017257,1.402605,-0.139163,-0.088355,-0.019891,-0.031747,0.055653,0.658961,0.163514,-0.030226,0.116657,-0.031689,0.056152,0.676296,-0.084317,0.017895,-0.026880,0.284510,0.263146,-0.119912,0.306375,0.002671,-0.016981,1.403474,-0.138264,-0.077316,-0.022879,-0.025618,0.047316,0.659554,0.150029,-0.183492,0.107099,-0.025325,0.049280,0.663968
7703,0.020007,0.495513,0.076860,-0.736448,-0.025204,0.056782,1.778096,0.136639,1.147549,-1.430267,-0.306857,0.378690,-0.844869,-1.185125,0.566210,1.291963,-0.314516,0.378141,-0.819286,-1.249567,0.018878,-0.342433,-0.256220,0.500447,0.095116,-0.744167,-0.027069,0.058749,1.776931,0.156816,1.118423,-1.320182,-0.324201,0.348163,-0.830467,-1.234185,0.656521,1.262415,-0.323957,0.331282,-0.826598
7704,0.020006,-0.736870,-0.503744,-0.108600,-0.106216,-0.016600,1.602297,-0.091439,-0.953703,-0.822352,-0.274519,-0.461369,-0.169185,1.023101,-0.087867,-0.118652,-0.272355,-0.458650,-0.168625,0.213790,0.240150,0.099120,0.136953,-0.735589,-0.513918,-0.112420,-0.107189,-0.018269,1.602193,-0.050293,-0.943536,-0.830691,-0.247793,-0.456568,-0.164162,1.147546,0.017107,-0.148213,-0.235391,-0.455833,-0.139155
7705,0.019999,0.395918,0.561442,0.042266,0.005011,-0.004728,1.340745,0.045994,-1.007641,1.119375,0.045845,-0.104291,0.541565,1.174419,0.305952,0.000184,0.044832,-0.099518,0.527353,0.072051,0.037743,-0.018993,0.682887,0.397569,0.544747,0.050494,0.005252,-0.005257,1.341437,0.044412,-1.000243,1.105360,0.040418,-0.100857,0.515006,1.242152,0.350480,-0.010590,0.039621,-0.103661,0.522243
7706,0.020003,-0.684349,-0.937726,-0.775826,0.006504,0.004572,1.838740,-0.007029,-0.076338,0.992804,-0.196587,-0.336129,-0.042207,0.024198,0.222922,0.119988,-0.256330,-0.349720,-0.064405,-0.336948,1.746159,0.829291,-0.673853,-0.685047,-0.939272,-0.769422,0.005116,0.003209,1.838678,-0.010293,-0.078635,0.992637,-0.227553,-0.151854,-0.046785,0.295298,0.029703,0.194611,-0.209629,-0.120510,-0.062924
7707,0.020023,-0.704519,-0.926675,1.011524,0.000390,0.003959,1.819824,0.024038,0.023334,0.636034,-0.022472,-0.032656,-0.013257,0.166574,-0.026511,0.103804,-0.004283,-0.001925,-0.020274,-0.216534,-0.448723,-1.650608,0.222931,-0.702114,-0.925835,1.016803,0.001115,0.004956,1.819793,0.025720,0.022153,0.636009,0.213436,0.259647,-0.001525,0.147567,0.045743,0.131996,0.231219,0.272528,-0.011758
7708,0.020000,0.747568,3.209619,-1.041391,0.037373,0.062915,1.759973,-3.187910,0.459048,-0.121970,-0.557716,0.421797,0.616555,-1.325970,-3.480937,0.596423,-0.559958,0.422316,0.615097,-0.488704,0.170238,-0.027656,-1.395726,0.703043,3.214703,-1.042054,0.035321,0.064419,1.760638,-3.189906,0.434370,-0.093509,-0.556653,0.419096,0.602728,-1.232488,-3.480568,0.546896,-0.557583,0.420514,0.603065
